id,corner,x,y,z
0,-1,0,-13.5,-10
0,0,5,-13.5,-15
0,1,5,-13.5,-5
0,2,-5,-13.5,-5
0,3,-5,-13.5,-15
1,-1,13.5,0,-10
1,0,13.5,5,-15
1,1,13.5,5,-5
1,2,13.5,-5,-5
1,3,13.5,-5,-15
2,-1,0,13.5,-10
2,0,5,13.5,-15
2,1,-5,13.5,-15
2,2,-5,13.5,-5
2,3,5,13.5,-5
3,-1,-13.5,0,-10
3,0,-13.5,5,-15
3,1,-13.5,-5,-15
3,2,-13.5,-5,-5
3,3,-13.5,5,-5
4,-1,28.5,-28.5,-35
4,0,33.5,-23.5,-35
4,1,23.5,-23.5,-35
4,2,23.5,-33.5,-35
4,3,33.5,-33.5,-35
5,-1,28.5,28.5,-35
5,0,33.5,33.5,-35
5,1,23.5,33.5,-35
5,2,23.5,23.5,-35
5,3,33.5,23.5,-35
6,-1,-28.5,28.5,-35
6,0,-23.5,23.5,-35
6,1,-23.5,33.5,-35
6,2,-33.5,33.5,-35
6,3,-33.5,23.5,-35
7,-1,-28.5,-28.5,-35
7,0,-33.5,-33.5,-35
7,1,-23.5,-33.5,-35
7,2,-23.5,-23.5,-35
7,3,-33.5,-23.5,-35
