,id,corner,x,y,z
0,0,-1,0,-12.5,-13
1,0,0,5,-12.5,-8
2,0,1,-5,-12.5,-8
3,0,2,-5,-12.5,-18
4,0,3,5,-12.5,-18
5,1,-1,12.5,0,-13
6,1,0,12.5,-5,-8
7,1,1,12.5,-5,-18
8,1,2,12.5,5,-18
9,1,3,12.5,5,-8
10,2,-1,0,12.5,-13
11,2,0,-5,12.5,-8
12,2,1,5,12.5,-8
13,2,2,5,12.5,-18
14,2,3,-5,12.5,-18
15,3,-1,-12.5,0,-13
16,3,0,-12.5,-5,-18
17,3,1,-12.5,-5,-8
18,3,2,-12.5,5,-8
19,3,3,-12.5,5,-18
20,4,-1,33.5,33.5,-35
21,4,0,38.5,28.5,-35
22,4,1,38.5,38.5,-35
23,4,2,28.5,38.5,-35
24,4,3,28.5,28.5,-35
25,5,-1,-33.5,33.5,-35
26,5,0,-38.5,38.5,-35
27,5,1,-38.5,28.5,-35
28,5,2,-28.5,28.5,-35
29,5,3,-28.5,38.5,-35
30,6,-1,-33.5,-33.5,-35
31,6,0,-38.5,-28.5,-35
32,6,1,-38.5,-38.5,-35
33,6,2,-28.5,-38.5,-35
34,6,3,-28.5,-28.5,-35
35,7,-1,33.5,-33.5,-35
36,7,0,28.5,-28.5,-35
37,7,1,28.5,-38.5,-35
38,7,2,38.5,-38.5,-35
39,7,3,38.5,-28.5,-35
